timestamp,model,gap_min,session_id,scenario,ctx,gap_before_s,ttft_ms,total_ms,provider_name,provider_caches,cached_tokens,prompt_tokens,cache_hit_rate,total_cost,cache_discount,error
2026-08-25T11:41:46,llama-3.3-70b,20,1,baseline,long,0,2924,3500,Parasail,yes,4112,13812,0.2977,0.00261632,0.00045232,
2026-08-25T11:41:47,llama-3.3-70b,15,1,baseline,long,0,2926,3655,Parasail,yes,13792,13812,0.9986,0.00155152,0.00151712,
2026-08-25T11:41:48,gpt-4o-mini,15,0,baseline,long,0,871,1442,OpenAI,yes,0,13414,0.0,0.0020481,,
2026-08-25T11:41:48,gpt-4o-mini,20,0,baseline,long,0,982,1523,OpenAI,yes,1920,13414,0.1431,0.0019017,0.000144,
2026-08-25T11:41:48,gpt-4o-mini,15,1,baseline,long,0,1875,2160,Azure,yes,3968,13414,0.2958,0.0017505,0.0002976,
2026-08-25T11:41:48,llama-3.3-70b,15,0,baseline,long,0,1374,2151,Crusoe,yes,0,13812,0.0,0.003498,,
2026-08-25T11:41:49,gpt-4o-mini,20,1,baseline,long,0,2419,2924,Azure,yes,0,13414,0.0,0.0020481,,
2026-08-25T11:41:56,llama-3.3-70b,20,0,baseline,long,0,2514,6070,DeepInfra,no,0,13811,0.0,0.0014003,,
2026-08-25T11:42:39,llama-3.3-70b,15,0,baseline,short,45,1726,2133,Parasail,yes,0,4151,0.0,0.00094322,,
2026-08-25T11:42:39,gpt-4o-mini,20,0,baseline,short,45,1680,1968,Azure,yes,0,4029,0.0,0.00064035,,
2026-08-25T11:42:39,gpt-4o-mini,15,1,baseline,short,45,1964,2211,Azure,yes,3968,4029,0.9849,0.00034275,0.0002976,
2026-08-25T11:42:40,llama-3.3-70b,15,1,baseline,short,45,766,1316,Parasail,yes,4128,4151,0.9945,0.00048914,0.00045408,
2026-08-25T11:42:40,llama-3.3-70b,20,1,baseline,short,45,937,1645,Parasail,yes,4112,4151,0.9906,0.0004909,0.00045232,
2026-08-25T11:42:42,gpt-4o-mini,15,0,baseline,short,45,1560,2000,Azure,yes,3968,4029,0.9849,0.00034275,0.0002976,
2026-08-25T11:42:47,gpt-4o-mini,20,1,baseline,short,45,1483,2294,Azure,yes,3968,4029,0.9849,0.00034275,0.0002976,
2026-08-25T11:42:52,llama-3.3-70b,20,0,baseline,short,45,638,1219,Parasail,yes,4128,4151,0.9945,0.00048914,0.00045408,
2026-08-25T11:43:35,llama-3.3-70b,15,1,baseline,long,45,2624,3320,Parasail,yes,4112,13812,0.2977,0.00260432,0.00045232,
2026-08-25T11:43:35,llama-3.3-70b,20,1,baseline,long,45,2484,3467,Parasail,yes,13792,13812,0.9986,0.00154652,0.00151712,
2026-08-25T11:43:35,gpt-4o-mini,15,0,baseline,long,45,1789,1879,Azure,yes,13312,13414,0.9924,0.0010335,0.0009984,
2026-08-25T11:43:36,gpt-4o-mini,15,1,baseline,long,45,1706,1965,Azure,yes,13312,13414,0.9924,0.0010353,0.0009984,
2026-08-25T11:43:36,gpt-4o-mini,20,0,baseline,long,45,2178,2530,Azure,yes,3968,13414,0.2958,0.0017415,0.0002976,
2026-08-25T11:43:37,llama-3.3-70b,15,0,baseline,long,45,2377,2969,Parasail,yes,8768,13812,0.6348,0.00209166,0.00096448,
2026-08-25T11:44:00,gpt-4o-mini,20,1,baseline,long,45,1653,1853,,,,,,,,
2026-08-25T11:44:06,llama-3.3-70b,20,0,baseline,long,45,1792,2522,,,,,,,,
2026-08-25T11:44:27,gpt-4o-mini,20,0,baseline,short,45,1692,1926,Azure,yes,3968,4031,0.9844,0.00034305,0.0002976,
2026-08-25T11:44:27,llama-3.3-70b,15,0,baseline,short,45,812,1505,Parasail,yes,4128,4154,0.9937,0.0004898,0.00045408,
2026-08-25T11:44:28,llama-3.3-70b,15,1,baseline,short,45,1095,1761,Parasail,yes,4128,4154,0.9937,0.0004898,0.00045408,
2026-08-25T11:44:28,llama-3.3-70b,20,1,baseline,short,45,1127,1129,Parasail,yes,4112,4154,0.9899,0.00049156,0.00045232,
2026-08-25T11:44:30,gpt-4o-mini,15,0,baseline,short,45,1886,2243,Azure,yes,3968,4031,0.9844,0.00034305,0.0002976,
2026-08-25T11:44:40,gpt-4o-mini,15,1,baseline,short,45,1726,1873,Azure,yes,3968,4031,0.9844,0.00034305,0.0002976,
2026-08-25T11:45:00,gpt-4o-mini,20,1,baseline,short,45,1750,1808,Azure,yes,3968,4031,0.9844,0.00034305,0.0002976,
2026-08-25T11:45:09,llama-3.3-70b,20,0,baseline,short,45,1486,1487,Parasail,yes,4128,4154,0.9937,0.0004898,0.00045408,
2026-08-25T11:59:38,gpt-4o-mini,15,0,idle_15min,long,900,1485,1571,Azure,yes,13312,13417,0.9922,0.00102915,0.0009984,
2026-08-25T11:59:44,llama-3.3-70b,15,1,idle_15min,long,900,3017,6814,DeepInfra,no,0,13814,0.0,0.00139932,,
2026-08-25T11:59:46,llama-3.3-70b,15,0,idle_15min,long,900,5315,8330,DeepInfra,no,0,13814,0.0,0.001399,,
2026-08-25T11:59:53,gpt-4o-mini,15,1,idle_15min,long,900,1981,2185,Azure,yes,13312,13417,0.9922,0.00103695,0.0009984,
2026-08-25T11:59:55,gpt-4o-mini,15,0,idle_15min,short,5,1610,1706,Azure,yes,3968,4032,0.9841,0.0003102,0.0002976,
2026-08-25T12:00:03,llama-3.3-70b,15,0,idle_15min,short,5,1900,1901,Parasail,yes,0,4154,0.0,0.00091638,,
2026-08-25T12:00:09,gpt-4o-mini,15,1,idle_15min,short,5,1204,1394,Azure,yes,3968,4032,0.9841,0.0003096,0.0002976,
2026-08-25T12:00:09,llama-3.3-70b,15,1,idle_15min,short,5,10337,10423,Crusoe,yes,0,4154,0.0,0.00104225,,
2026-08-25T12:04:40,gpt-4o-mini,20,0,idle_20min,long,1200,2778,2860,Azure,yes,13312,13417,0.9922,0.00102915,0.0009984,
2026-08-25T12:04:41,llama-3.3-70b,20,1,idle_20min,long,1200,1486,2618,Crusoe,yes,0,13815,0.0,0.003495,,
2026-08-25T12:04:54,llama-3.3-70b,20,1,idle_20min,short,5,1218,1234,AkashML,yes,16,4178,0.0038,0.0008366,1.6e-06,
2026-08-25T12:04:56,gpt-4o-mini,20,0,idle_20min,short,5,1194,1245,Azure,yes,3968,4032,0.9841,0.0003096,0.0002976,
2026-08-25T12:05:12,gpt-4o-mini,20,1,idle_20min,long,1200,1705,1880,Azure,yes,13312,13417,0.9922,0.00103635,0.0009984,
2026-08-25T12:05:23,llama-3.3-70b,20,0,idle_20min,long,1200,3601,4432,AkashML,yes,16,13839,0.0012,0.00278648,1.6e-06,
2026-08-25T12:05:28,gpt-4o-mini,20,1,idle_20min,short,5,1421,1482,Azure,yes,3968,4032,0.9841,0.0003084,0.0002976,
2026-08-25T12:05:39,llama-3.3-70b,20,0,idle_20min,short,5,830,842,AkashML,yes,4144,4178,0.9919,0.0004238,0.0004144,
