timestamp,workload,session_id,scenario,gap_before_s,ttft_ms,total_ms,provider_name,cached_tokens,prompt_tokens,cache_hit_rate,total_cost,cache_discount,error
2026-08-25T09:57:31,legal,2,baseline,0,1355,2148,OpenAI,12288,12406,0.9905,0.0009861,0.0009216,
2026-08-25T09:57:31,legal,1,baseline,0,1290,1898,OpenAI,12288,12406,0.9905,0.0009795,0.0009216,
2026-08-25T09:57:31,legal,0,baseline,0,1184,2148,OpenAI,12288,12406,0.9905,0.0009843,0.0009216,
2026-08-25T09:58:25,legal,2,baseline,45,695,2796,OpenAI,12288,12405,0.9906,0.00106995,0.0009216,
2026-08-25T09:58:26,legal,1,baseline,45,742,3008,OpenAI,12288,12405,0.9906,0.00108195,0.0009216,
2026-08-25T09:58:26,legal,0,baseline,45,698,2964,OpenAI,12288,12405,0.9906,0.00108195,0.0009216,
2026-08-25T09:59:16,legal,0,baseline,45,817,1193,OpenAI,12288,12406,0.9905,0.0009663,0.0009216,
2026-08-25T09:59:18,legal,2,baseline,45,804,1022,OpenAI,12288,12406,0.9905,0.0009567,0.0009216,
2026-08-25T09:59:19,legal,1,baseline,45,749,1103,OpenAI,12288,12406,0.9905,0.0009615,0.0009216,
2026-08-25T10:00:12,legal,2,baseline,45,754,2582,OpenAI,12288,12407,0.9904,0.00103905,0.0009216,
2026-08-25T10:00:15,legal,0,baseline,45,1013,3428,OpenAI,12288,12407,0.9904,0.00106065,0.0009216,
2026-08-25T10:00:33,legal,1,baseline,45,856,18612,OpenAI,12288,12407,0.9904,0.00163245,0.0009216,
2026-08-25T10:06:21,legal,0,idle_6min,360,1264,2091,OpenAI,12288,12409,0.9902,0.00095895,0.0009216,
2026-08-25T10:06:22,legal,2,idle_6min,360,2620,2949,OpenAI,12288,12409,0.9902,0.00096195,0.0009216,
2026-08-25T10:06:47,legal,1,idle_6min,360,3370,4516,OpenAI,12288,12409,0.9902,0.00096195,0.0009216,
2026-08-25T10:11:31,legal,2,idle_11min,670,949,986,OpenAI,12288,12408,0.9903,0.0009408,0.0009216,
2026-08-25T10:11:32,legal,0,idle_11min,666,1517,1557,OpenAI,12288,12408,0.9903,0.0009408,0.0009216,
2026-08-25T10:11:58,legal,1,idle_11min,675,749,785,OpenAI,12288,12408,0.9903,0.0009414,0.0009216,
